xxx; yyy
       0;     500
     -45;     397
     -34;     298
      61;     294
      82;     392
     156;     475
    -191;     462
    -193;     350
    -145;     263
     -56;     295
     -74;     393
     -37;     499
    -354;     354
    -313;     249
    -235;     187
    -164;     251
    -219;     335
    -225;     446
    -462;     191
    -384;     111
    -288;      83
    -248;     169
    -331;     225
    -379;     326
    -500;       0
    -397;     -45
    -298;     -34
    -294;      61
    -392;      82
    -475;     156
    -462;    -191
    -350;    -193
    -263;    -145
    -295;     -56
    -393;     -74
    -499;     -37
    -354;    -354
    -249;    -313
    -187;    -235
    -251;    -164
    -335;    -219
    -446;    -225
    -191;    -462
    -111;    -384
     -83;    -288
    -169;    -248
    -225;    -331
    -326;    -379
      -0;    -500
      45;    -397
      34;    -298
     -61;    -294
     -82;    -392
    -156;    -475
     191;    -462
     193;    -350
     145;    -263
      56;    -295
      74;    -393
      37;    -499
     354;    -354
     313;    -249
     235;    -187
     164;    -251
     219;    -335
     225;    -446
     462;    -191
     384;    -111
     288;     -83
     248;    -169
     331;    -225
     379;    -326
     500;      -0
     397;      45
     298;      34
     294;     -61
     392;     -82
     475;    -156
     462;     191
     350;     193
     263;     145
     295;      56
     393;      74
     499;      37
     354;     354
     249;     313
     187;     235
     251;     164
     335;     219
     446;     225
     191;     462
     111;     384
      83;     288
     169;     248
     225;     331
     326;     379

